NU_ANO_CENSO,QT_MAT,QT_ING,QT_CONC,EVASAO_PUBLICA,RETENCAO_PUBLICA,SUCESSO_PUBLICA,EVASAO_PRIVADA,RETENCAO_PRIVADA,SUCESSO_PRIVADA,EVASAO_NAO INFORMADA,RETENCAO_NAO INFORMADA,SUCESSO_NAO INFORMADA,CENTRO,EVASAO_ETNICO,RETENCAO_ETNICO,SUCESSO_ETNICO,EVASAO_REDE PUBLICA,RETENCAO_REDE PUBLICA,SUCESSO_REDE PUBLICA,EVASAO_SOCIAL,RETENCAO_SOCIAL,SUCESSO_SOCIAL,EVASAO_BRANCA,RETENCAO_BRANCA,SUCESSO_BRANCA,EVASAO_PRETA,RETENCAO_PRETA,SUCESSO_PRETA,EVASAO_PARDA,RETENCAO_PARDA,SUCESSO_PARDA,EVASAO_MASCULINO,RETENCAO_MASCULINO,SUCESSO_MASCULINO,EVASAO_FEMININO,RETENCAO_FEMININO,SUCESSO_FEMININO,EVASAO,RETENCAO,SUCESSO
2015,7068.0,1618.0,981.0,12.490892464094665,8.005768637135361,12.739680028517041,14.661862231879672,,,4.898804205268266,37.41496709002272,55.711426958775164,CCJE,17.61309710423077,,,13.23374815824027,22.47827005573186,9.91347809896197,21.457841278777188,,0.7033713315546931,1.6597561660660667,9.515366021987873,87.02472711557787,5.583213960162286,10.961442584957016,86.55458089668616,5.676156362249402,10.813201132678104,86.89155897947512,13.140268326438337,30.36835935841957,60.77199160780681,8.645319430396915,23.762109670059946,67.64292702920844,10.701503917591372,27.155939522055935,63.68977126072756
2016,6877.0,1524.0,998.0,14.313554121974953,28.148526139066444,53.710141038820105,10.141325825977514,,,12.059912106555869,28.498808876825514,61.43595046072564,CCJE,20.07860683080833,,,16.160370617439458,32.307888333876846,49.62348973440554,20.87103600096836,,1.9802320847282384,3.8730015428790576,13.381653861142983,86.24046364011177,8.705564595241183,31.86388268800658,66.49224121813914,11.050267132856673,17.816105306603763,81.71733499810308,14.521963260190335,37.03476452367555,57.31434355461468,9.714315275913458,19.922272758866132,75.15864526552852,12.010986708944246,28.4598853032054,65.86823317217844
2017,7344.0,1613.0,1031.0,3.584098602974035,48.911040356708625,29.63062052673797,5.630929160949547,21.843437179689293,16.623338419439253,,,61.53322440087146,CCJE,4.325300709901062,24.684201963613727,7.422868979241528,3.4916389969735837,43.26422788764247,49.06347812850308,3.337205510994178,24.957648182729884,7.6340385464280125,0.8503752248558002,10.661123461724033,88.08573695674947,1.8369845762215753,25.78780493369155,72.25577731092437,1.3628825239554434,18.303754326431815,80.73535797486731,3.114397553147162,30.00442503961879,63.495665508220014,3.067744561560205,31.87457726100643,63.79314920291279,3.0529286763258026,30.941177431531283,63.67819088522114
2018,7397.0,1657.0,1061.0,9.35325347982541,33.3769309854489,55.234664126836726,9.365698464108766,39.71911168087359,54.60865182020064,8.683935467532498,,13.748817088008652,CCJE,9.719922272707581,31.08467317693916,43.02501682644865,9.516558072244353,29.544267537077243,57.762013213863675,9.63092984590129,40.96196288409747,43.83060700283899,5.490892384895333,7.569088003056868,90.38974374850476,5.317981162176746,21.620320998131152,73.5939697385216,9.660704335276343,14.18037988600398,82.95099030027902,10.634784405637173,33.51155073526837,57.81971663925388,7.2753814119679445,23.421721442552904,70.26949909833945,9.008775796317934,29.98870981462087,62.62481236543972
2019,7355.0,1583.0,908.0,8.96566562477346,45.98618779851578,47.91202247324387,8.91186875795698,33.752630989070894,58.97262739404093,15.81304900124483,,19.714479945615228,CCJE,8.918306273283214,52.09245255376898,40.91668314501422,8.700741066272268,47.40238072988539,46.07147034314289,8.174291094407925,54.59847114472048,37.64539366215565,4.5178574323129395,18.038866715209316,80.44416118387056,5.604148617795186,24.699320834602954,72.55471584839363,8.737738644161219,40.42045094182632,56.288513641850194,10.73287159527466,44.2837117749318,49.05856232839095,6.903014810691546,28.795678455606954,65.66450355601121,8.827583750924834,36.38873134545112,57.37527715135527
2020,7356.0,1568.0,924.0,10.54247651811189,42.28369575077861,51.882196002296574,9.858300944278716,32.036211315512425,62.34035801720012,16.360996535468345,,,CCJE,11.701033547240673,43.59211475710595,47.62776932700499,10.950830251629107,45.80866354994636,48.06768281619657,10.738643116010923,52.26528463093648,40.74458931799878,2.759204157265819,23.110803837990307,75.44701458875268,2.0057898145258966,28.791603614875385,66.61895646591276,11.646165004026317,25.21171147773677,71.77664464809224,12.064827485075435,37.605710256004976,55.7280445690081,8.387119096593526,31.937935784350493,63.77712650190828,10.192992605263223,35.428491487383816,59.17579416880183
2021,7527.0,1568.0,856.0,7.683625928772663,45.85676440786985,51.98762208179028,6.838401116779273,32.30267832629876,63.62845571842783,11.05796908905717,,,CCJE,8.143158031275865,53.586379519293914,44.53867941849582,7.758835947166182,46.62654376234782,51.31081372525426,6.788033999696896,52.57749842848315,45.58812765890814,4.265906825526622,26.06759749930892,72.19054171106781,3.444061997874852,46.44292265920821,51.85795450471581,9.404512667228962,44.38569292029076,53.16270030863075,8.84530705717911,47.21560493578643,50.44261569841123,5.42932530064949,29.592431248780347,67.85668525358918,7.264665187044949,39.16283098286154,58.406742022253184
2022,7687.0,1584.0,1007.0,8.583481786116147,35.31820733851555,59.12748998089159,8.460195639389175,28.753089287610727,65.0323163894123,4.712626712431578,,21.881097957590736,CCJE,7.673406348243282,41.711922521094905,53.47428089109049,8.05144795046907,35.31336763022934,59.28102827412928,8.943162493469138,38.431397209234085,56.264565439646105,6.574088937421292,18.11947421035019,78.57517122556479,5.613357960162433,28.54024826311079,69.10215350178925,9.256722736200361,37.356297136993895,57.253011401836226,8.145952373239364,36.3022030410078,57.30894537983454,8.978183977168678,26.366051934515486,68.78816244420949,8.429969320234878,31.488822101538755,62.72742200002411
2009,2539.0,719.0,306.0,,,,,,,,,,CFCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,3047.0,811.0,348.0,,,,,,,,,,CFCH,,,,,,,,,,13.757298811954497,,,23.19736220458242,,,15.871415117608809,,,20.665535951617834,,,17.686479946236997,,,18.155453712956042,,
