NU_ANO_CENSO,QT_MAT,QT_ING,QT_CONC,EVASAO_PUBLICA,RETENCAO_PUBLICA,SUCESSO_PUBLICA,EVASAO_PRIVADA,RETENCAO_PRIVADA,SUCESSO_PRIVADA,EVASAO_NAO INFORMADA,RETENCAO_NAO INFORMADA,SUCESSO_NAO INFORMADA,CENTRO,EVASAO_ETNICO,RETENCAO_ETNICO,SUCESSO_ETNICO,EVASAO_REDE PUBLICA,RETENCAO_REDE PUBLICA,SUCESSO_REDE PUBLICA,EVASAO_SOCIAL,RETENCAO_SOCIAL,SUCESSO_SOCIAL,EVASAO_AMPLA,RETENCAO_AMPLA,SUCESSO_AMPLA,EVASAO_BRANCA,RETENCAO_BRANCA,SUCESSO_BRANCA,EVASAO_PRETA,RETENCAO_PRETA,SUCESSO_PRETA,EVASAO_PARDA,RETENCAO_PARDA,SUCESSO_PARDA,EVASAO_MASCULINO,RETENCAO_MASCULINO,SUCESSO_MASCULINO,EVASAO_FEMININO,RETENCAO_FEMININO,SUCESSO_FEMININO,EVASAO,RETENCAO,SUCESSO
2021,1795.0,394.0,183.0,8.935100226678689,52.44049843175759,41.277130982148265,10.259403348080875,37.058276118150815,55.056723515178575,10.41782729805014,,,MACAE,7.885908356996907,53.50776531835027,38.72150474100334,8.765779334905158,51.475975557832804,42.049364894988706,8.042643331890645,50.04700070373873,43.45909626218965,10.184213723777917,41.99324023654034,53.400823831525976,4.4312459855252895,25.118572742754147,74.45140784874813,3.723094454292226,49.083142508454365,47.539461467038066,7.81506253400924,41.47524661765146,56.55524605385329,9.242174681682055,54.5995009628148,39.575138572353055,9.657776134531616,45.142180429208466,49.122046034200395,9.494572373196831,46.621719299744974,47.8012547657189
2022,1833.0,393.0,226.0,9.976559872544158,39.10697296313044,54.40687530728909,11.870905084317366,41.373318450774946,52.738218365531345,,,,MACAE,8.854681591603725,35.755846678657164,54.38222533967215,9.66670062073097,38.822570917559496,53.8533588061551,9.301320573824665,46.82697732139821,45.16226615517395,11.556138644843644,39.34549788234038,55.3594397081019,7.381434209262835,24.48925793703799,72.62131350085042,7.712389389485761,22.42931803523848,72.20273816018498,8.306031179074132,36.83111866028304,58.59807774015049,12.69183623061245,45.40654367847402,50.56785771461167,10.14136616531726,39.09335462233234,55.19549038453279,10.588678109020167,41.1584448819613,52.909294531177764
2010,201.0,124.0,0.0,,,,,,,,,,CAXIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,285.0,143.0,0.0,60.70175438596491,,,,,,27.77079479348914,,,CAXIAS,,,,60.70175438596491,,,60.70175438596491,,,27.77079479348914,,,4.220009483167378,,,,,,34.71734892787525,,,29.434972601027276,,,28.971398192450827,,,30.36910876022416,,
2012,352.0,138.0,0.0,58.969155844155836,,,,,,20.729670986680333,,,CAXIAS,,,,41.865530303030305,,,,,,23.51662205050055,,,15.428120134147804,,,36.417748917748916,,,21.994047619047617,,,29.52716081267217,,,22.3642915375581,,,25.389626278363696,,
2013,431.0,139.0,13.0,57.93422726789281,,,61.716937354988396,,,,,,CAXIAS,61.716937354988396,,,25.48800042999579,,,28.53828306264501,,,17.10649281436229,,,10.460451381565072,,,12.34338747099768,,,14.444410964132542,,,11.616780274098945,,,19.140149998618675,,,17.050525796783287,,
2014,484.0,147.0,89.0,29.530428249436515,,,,,,29.514751184030175,44.90978253256759,46.887913223140494,CAXIAS,16.976584022038566,,,19.55600034435262,,,28.512396694214875,,,18.98406671133944,44.90978253256759,50.37448347107438,14.343615974379771,27.892561983471072,72.10743801652893,16.741614000972287,48.81198347107438,40.03099173553719,10.757888805409465,43.38842975206611,45.764462809917354,20.76985188270455,55.66890495867768,40.03099173553719,18.469352617079892,33.79291163382072,57.445963127781305,19.24204793100662,41.59187758264463,52.00154958677686
2015,475.0,148.0,51.0,28.44371997359979,11.494736842105263,52.059442724458194,18.8168016194332,,,3.2781954887218046,66.45902944097202,26.512383900928793,CAXIAS,46.833082706766916,,,30.42882028728903,34.61609907120744,40.128792569659446,55.254798761609905,,10.049535603715169,13.445288347772987,55.38391120031019,34.03451740807126,1.3768421052631579,47.49599594223653,43.52781954887217,30.985472731602762,6.966507177033497,55.47368421052631,15.298245614035087,36.57008310249308,47.90526315789474,14.493074792243767,49.70679425837321,35.06985645933014,18.75804652553385,55.44324036968296,34.367445671257464,17.09717571239022,52.291120278798246,35.28696044895331
2016,444.0,93.0,62.0,20.81053815075535,67.4054549054549,13.200013200013197,16.4014014014014,,,7.742803779389145,,,CAXIAS,24.547728321313226,,,20.613086204484052,65.67037625861155,33.153153153153156,15.814275814275813,,,14.74675987138106,40.750538600012945,48.53647558565592,6.583856583856584,36.49789029535865,58.48616473616473,6.193693693693693,24.286786786786784,63.21321321321321,7.775392129546163,40.79658605974395,54.5945945945946,17.74956774956775,57.44352044352045,37.362637362637365,16.878131768372445,36.92728196176473,51.77749177749177,17.231503521052897,45.452848732634536,44.88279488279488
2017,497.0,150.0,84.0,10.571364696113186,42.17325319437995,40.96463395759171,8.483174911538194,47.57712944332663,52.422870556673374,5.3637039629078815,,,CAXIAS,17.814970631872036,50.85513078470825,29.845741113346744,12.099566112966908,30.878706582931933,56.92488262910799,16.50793650793651,34.43387598317176,41.4822266934943,7.63948601389916,29.27049476345251,59.89268947015425,,,,13.838587078023696,53.89915249070178,30.516431924882628,14.301477904271136,17.11371655492905,76.15584813227188,13.29644533869886,36.35290154404842,53.27641524824624,8.62316757688991,25.251904087417163,63.29564689725656,8.993239640603408,29.537770485337514,59.32092555331991
