,CO_CURSO,NO_CURSO,ANO_INGRESSO,ANO_REFERENCIA,QT_INGRESSANTES,QT_PERMANENCIA,QT_CONCLUINTES,QT_DESISTENTES,TAP,TCA,TDA,TCAN,TADA,DURACAO,ANO_INTEGRALIZACAO
88,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2012,2015,384,116,10,1,68.45683728,6.2475191712500004,25.2956435485,6.052966642,0.4901960785,5,2016
89,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2012,2016,384,82,32,2,47.5655716825,26.229693859250002,26.204734457500003,19.982174687500002,0.909090909,5,2016
90,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2012,2017,384,48,29,5,26.4604023425,44.21925331675,29.320344338,17.98955946,3.11560988025,5,2016
91,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2012,2018,384,29,16,3,16.6959511075,52.51311631675,30.79093257425,8.2938630005,1.47058823525,5,2016
92,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2012,2019,384,15,6,8,9.31117901825,55.38299154175,35.305829441,2.86987522275,4.514896868,5,2016
93,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2012,2020,384,10,5,0,6.195569137,58.49860142175,35.305829441,3.11560988025,0.0,5,2016
94,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2012,2021,384,7,1,2,4.76063152525,58.95314687425,36.2862215985,0.4545454545,0.98039215675,5,2016
95,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2013,2013,386,380,0,6,99.4023904375,0.0,0.59760956175,0.0,0.59760956175,5,2017
96,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2013,2014,386,135,0,245,75.0,0.0,25.0,0.0,24.4023904375,5,2017
97,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2013,2015,386,129,1,5,71.6819541375,0.4237288135,27.89431704875,0.4237288135,2.89431704875,5,2017
