CO_CURSO,NU_ANO_CENSO,CENTRO,NO_CURSO,MATRICULADOS,MATRICULADOS_FEM,MATRICULADOS_MASC,MATRICULADOS_DIURNO,MATRICULADOS_NOTURNO,MATRICULADOS_0_17,MATRICULADOS_18_24,MATRICULADOS_25_29,MATRICULADOS_30_34,MATRICULADOS_35_39,MATRICULADOS_40_49,MATRICULADOS_50_59,MATRICULADOS_60_MAIS,MATRICULADOS_BRANCA,MATRICULADOS_PRETA,MATRICULADOS_PARDA,MATRICULADOS_AMARELA,MATRICULADOS_INDIGENA,MATRICULADOS_CORND,MATRICULADOS_NACBRAS,MATRICULADOS_NACESTRANG,MATRICULADOS_DEFICIENTE,MATRICULADOS_FINANC,MATRICULADOS_FINANC_REEMB,MATRICULADOS_FIES,MATRICULADOS_RPFIES,MATRICULADOS_FINANC_REEMB_OUTROS,MATRICULADOS_FINANC_NREEMB,MATRICULADOS_PROUNII,MATRICULADOS_PROUNIP,MATRICULADOS_NRPFIES,MATRICULADOS_FINANC_NREEMB_OUTROS,MATRICULADOS_RESERVA_VAGA,MATRICULADOS_RVREDEPUBLICA,MATRICULADOS_RVETNICO,MATRICULADOS_RVPDEF,MATRICULADOS_RVSOCIAL_RF,MATRICULADOS_RVOUTROS,MATRICULADOS_PROCESCPUBLICA,MATRICULADOS_PROCESCPRIVADA,MATRICULADOS_PROCNAOINFORMADA,MATRICULADOS_PARFOR,MATRICULADOS_APOIO_SOCIAL,MATRICULADOS_ATIV_EXTRACURRICULAR,MATRICULADOS_MOB_ACADEMICA,MATRICULADOS_AMPLA
85786,2010,CLA,MÚSICA,186.0,58.0,128.0,186.0,0.0,0.0,70.0,63.0,22.0,19.0,10.0,1.0,1.0,89.0,19.0,38.0,3.0,5.0,32.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,186.0,60.0,0.0,186.0
1114300,2010,CLA,MÚSICA - BANDOLIM,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
35558,2010,CLA,MÚSICA - CANTO,49.0,33.0,16.0,49.0,0.0,0.0,21.0,12.0,7.0,3.0,5.0,0.0,1.0,29.0,3.0,8.0,0.0,0.0,9.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0,24.0,0.0,49.0
45202,2010,CLA,MÚSICA - CLARINETA,10.0,1.0,9.0,10.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,4.0,0.0,10.0
33821,2010,CLA,MÚSICA - COMPOSIÇÃO,52.0,2.0,50.0,52.0,0.0,0.0,23.0,13.0,7.0,6.0,2.0,1.0,0.0,28.0,3.0,9.0,0.0,0.0,12.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,52.0,6.0,0.0,52.0
99324,2010,CLA,MÚSICA - CRAVO,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0
14326,2010,CCMN,GEOGRAFIA,215.0,57.0,158.0,0.0,215.0,0.0,155.0,34.0,13.0,2.0,7.0,3.0,1.0,94.0,11.0,54.0,3.0,1.0,52.0,215.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,215.0,67.0,0.0,215.0
14360,2010,CCS,NUTRIÇÃO,376.0,353.0,23.0,376.0,0.0,0.0,331.0,34.0,6.0,2.0,2.0,1.0,0.0,202.0,15.0,64.0,7.0,1.0,87.0,372.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,375.0,119.0,0.0,376.0
14349,2010,CFCH,PEDAGOGIA,510.0,468.0,42.0,323.0,187.0,2.0,320.0,78.0,44.0,24.0,34.0,7.0,1.0,224.0,37.0,108.0,5.0,5.0,131.0,507.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,509.0,97.0,0.0,510.0
5000669,2010,,Ciências Biológicas Bacharelados Rio,520.0,332.0,188.0,520.0,0.0,1.0,454.0,58.0,4.0,1.0,2.0,0.0,0.0,301.0,18.0,77.0,10.0,2.0,112.0,517.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,520.0,156.0,0.0,520.0
