;CO_ANO;CO_CURSO;NO_CURSO;MATT;CONCLT;INGR;MPROCEDUCPUBLICA;IPROCEDUCPUBLICA;CPROCEDUCPUBLICA;MPROCEDUCPRIVADA;IPROCEDUCPRIVADA;CPROCEDUCPRIVADA;MPROCNAOINFORMADA;IPROCNAOINFORMADA;CPROCNAOINFORMADA;DURACAO;CENTRO;Evasao;Retencao;Sucesso
169;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
170;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
171;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
172;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
173;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
174;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
175;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
176;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
177;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
178;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
179;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
180;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
181;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
182;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
183;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
184;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
185;2010;63484;CIÊNCIAS BIOLÓGICAS;317;10;81;0;0;0;0;0;0;0;0;0;5.0;EAD;0.0;83.83867276887872;
186;2010;63484;CIÊNCIAS BIOLÓGICAS;295;22;81;0;0;0;0;0;0;0;0;0;5.0;EAD;30.293159609120522;56.70553935860059;
187;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
188;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
189;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
190;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
191;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
192;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
193;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
194;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
195;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
196;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
