CO_CURSO,NU_ANO_CENSO,CENTRO,NO_CURSO,CONCLUINTES,CONCLUINTES_FEM,CONCLUINTES_MASC,CONCLUINTES_DIURNO,CONCLUINTES_NOTURNO,CONCLUINTES_0_17,CONCLUINTES_18_24,CONCLUINTES_25_29,CONCLUINTES_30_34,CONCLUINTES_35_39,CONCLUINTES_40_49,CONCLUINTES_50_59,CONCLUINTES_60_MAIS,CONCLUINTES_BRANCA,CONCLUINTES_PRETA,CONCLUINTES_PARDA,CONCLUINTES_AMARELA,CONCLUINTES_INDIGENA,CONCLUINTES_CORND,CONCLUINTES_NACBRAS,CONCLUINTES_NACESTRANG,CONCLUINTES_DEFICIENTE,CONCLUINTES_FINANC,CONCLUINTES_FINANC_REEMB,CONCLUINTES_FIES,CONCLUINTES_RPFIES,CONCLUINTES_FINANC_REEMB_OUTROS,CONCLUINTES_FINANC_NREEMB,CONCLUINTES_PROUNII,CONCLUINTES_PROUNIP,CONCLUINTES_NRPFIES,CONCLUINTES_FINANC_NREEMB_OUTROS,CONCLUINTES_RESERVA_VAGA,CONCLUINTES_RVREDEPUBLICA,CONCLUINTES_RVETNICO,CONCLUINTES_RVPDEF,CONCLUINTES_RVSOCIAL_RF,CONCLUINTES_RVOUTROS,CONCLUINTES_PROCESCPUBLICA,CONCLUINTES_PROCESCPRIVADA,CONCLUINTES_PROCNAOINFORMADA,CONCLUINTES_PARFOR,CONCLUINTES_APOIO_SOCIAL,CONCLUINTES_ATIV_EXTRACURRICULAR,CONCLUINTES_MOB_ACADEMICA,CONCLUINTES_AMPLA
14363,2009,CCJE,DIREITO,419.0,230.0,189.0,0.0,0.0,0.0,246.0,121.0,21.0,15.0,12.0,3.0,1.0,322.0,12.0,62.0,2.0,2.0,19.0,419.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,39.0,0.0,419.0
30273,2009,CLA,EDUCACAO ARTISTICA - ARTES PLASTICAS,53.0,46.0,7.0,0.0,0.0,0.0,24.0,16.0,7.0,3.0,2.0,1.0,0.0,35.0,4.0,10.0,0.0,1.0,3.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,17.0,0.0,53.0
23969,2009,CLA,EDUCACAO ARTISTICA - DESENHO,23.0,18.0,5.0,0.0,0.0,0.0,11.0,8.0,1.0,1.0,2.0,0.0,0.0,17.0,0.0,6.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,23.0
44892,2009,CCS,EDUCACAO FISICA,68.0,20.0,48.0,0.0,0.0,0.0,31.0,30.0,4.0,2.0,0.0,1.0,0.0,43.0,5.0,20.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,7.0,0.0,68.0
44893,2009,CCS,EDUCACAO FISICA - LICENCIATURA,144.0,77.0,67.0,0.0,0.0,0.0,103.0,30.0,11.0,0.0,0.0,0.0,0.0,93.0,10.0,32.0,1.0,2.0,6.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,12.0,0.0,144.0
83486,2009,CT,ENGENHARIA AMBIENTAL,14.0,8.0,6.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,14.0
14351,2009,CT,ENGENHARIA CIVIL,81.0,26.0,55.0,0.0,0.0,0.0,26.0,47.0,3.0,4.0,1.0,0.0,0.0,67.0,2.0,7.0,2.0,1.0,2.0,79.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,45.0,0.0,81.0
83910,2009,CT,ENGENHARIA DE ALIMENTOS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
83936,2009,CT,ENGENHARIA DE BIOPROCESSOS,6.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,6.0
83904,2009,CT,ENGENHARIA DE COMPUTACAO E INFORMACAO,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0
