CO_CURSO,NO_CURSO,ANO_INGRESSO,ANO_REFERENCIA,DURACAO,ANO_INTEGRALIZACAO,QT_INGRESSANTES,QT_PERMANENCIA,QT_CONCLUINTES,QT_DESISTENTES,TAP,TCA,TDA,TCAN,TADA
14326,GEOGRAFIA,2017,2021,5,2021,59,37,4,2,62.71186441,16.94915254,20.33898305,6.779661017,3.389830508
14327,GEOLOGIA,2017,2017,6,2022,33,31,0,2,93.93939394,0.0,6.060606061,0.0,6.060606061
14327,GEOLOGIA,2017,2018,6,2022,33,28,0,3,84.84848485,0.0,15.15151515,0.0,9.090909091
14327,GEOLOGIA,2017,2019,6,2022,33,28,0,0,84.84848485,0.0,15.15151515,0.0,0.0
14327,GEOLOGIA,2017,2020,6,2022,33,27,1,0,81.81818182,3.03030303,15.15151515,3.03030303,0.0
14327,GEOLOGIA,2017,2021,6,2022,33,27,0,0,81.81818182,3.03030303,15.15151515,0.0,0.0
14328,MATEMÁTICA,2017,2017,5,2021,104,91,0,13,87.5,0.0,12.5,0.0,12.5
14328,MATEMÁTICA,2017,2018,5,2021,104,78,0,13,75.0,0.0,25.0,0.0,12.5
14328,MATEMÁTICA,2017,2019,5,2021,104,61,1,16,58.65384615,0.961538462,40.38461538,0.961538462,15.38461538
14328,MATEMÁTICA,2017,2020,5,2021,104,56,3,2,53.84615385,3.846153846,42.30769231,2.884615385,1.923076923
14328,MATEMÁTICA,2017,2021,5,2021,104,51,3,2,49.03846154,6.730769231,44.23076923,2.884615385,1.923076923
14330,ESTATÍSTICA,2017,2017,5,2021,20,16,0,4,80.0,0.0,20.0,0.0,20.0
14330,ESTATÍSTICA,2017,2018,5,2021,20,14,0,2,70.0,0.0,30.0,0.0,10.0
14330,ESTATÍSTICA,2017,2019,5,2021,20,9,0,5,45.0,0.0,55.0,0.0,25.0
14330,ESTATÍSTICA,2017,2020,5,2021,20,7,1,1,35.0,5.0,60.0,5.0,5.0
